YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
2000,24.44,25.2,29.27,33.17,34.23,32.29,30.99,30.73,30.96,31.22,28.46,25.86,29.75
2001,24.36,27.4,30.32,32.54,34.96,32.34,31.33,31.31,31.66,30.79,28.26,25.33,29.99
2002,24.56,26.18,30.59,33.51,35.08,33.46,32.76,31.04,31.05,31.02,28.86,25.88,30.23
2003,24.27,26.36,29.13,32.91,34.12,33.77,31.3,30.93,30.86,30.26,27.86,24.97,29.75
2004,23.89,27.05,32.33,32.97,33.23,32.23,31.38,30.85,31.2,29.18,28.23,25.54,29.79
2005,24.18,25.74,29.5,32.37,33.57,33.88,30.96,31.45,31.05,29.78,27.6,25.11,29.6
2006,25.66,29.33,29.56,32.59,34.09,32.65,31.59,30.76,30.57,30.46,27.61,25.27,30.06
2007,25.19,26.28,29.33,33.57,34.05,32.63,31.29,31.06,30.64,30.49,28.41,25.19,29.84
2008,23.97,25.48,30.34,32.13,33.86,32.15,31.24,30.69,30.92,30.81,28.15,25.91,29.64
2009,25.27,27.75,30.57,33.09,34.09,33.73,31.77,31.84,31.6,30.75,27.59,25.53,30.3
2010,24.89,27.03,31.94,34.07,34.43,33.22,31.24,30.77,30.65,30.47,28.01,24.88,30.13
2011,24.18,26.47,30.17,31.7,34.33,33.02,31.41,30.92,30.81,30.85,28.31,25.6,29.82
2012,23.61,26.44,30.2,32.46,34.3,33.6,31.88,30.96,30.65,30.2,28.11,25.34,29.81
2013,24.56,26.59,30.62,32.66,34.46,32.44,31.07,30.76,31.04,30.27,27.83,25.37,29.81
2014,23.83,25.97,28.95,32.74,33.77,34.15,31.85,31.32,30.68,30.29,28.05,25.08,29.72
2015,24.58,26.89,29.07,31.87,34.09,32.48,31.88,31.52,31.55,31.04,28.1,25.67,29.9
2016,26.94,29.72,32.62,35.38,35.72,34.03,31.64,31.79,31.66,31.98,30.11,28.01,31.63
2017,26.45,29.46,31.6,34.95,35.84,33.82,31.88,31.72,32.22,32.29,29.6,27.18,31.42
2018,25.45,27.46,30.6,35.95,38.84,30.82,30.88,30.72,32.2,31.29,27.6,25.18,30.58
2019,26.45,29.46,31.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
